index,location,Lat,Lon,USA
2872,Jerusalén,31.768319,35.21371,0
2873,Home:#LNK.Work:Wahoo.#Nebraska,41.2115023,-96.6212604,1
2874,"Muscat, Oman",23.5880307,58.3828717,0
2875,Kampala,0.3475964,32.5825197,0
2876,I could be your neighbor...,,,
2877,مِصْر,26.820553,30.802498,0
2878,Pearl of Africa,42.377357,-71.229367,1
2879,𝙋𝙖𝙣𝙖𝙢𝙖 𝘾𝙞𝙩𝙮 🇵🇦,8.9823792,-79.5198696,0
2880,Dallas TX,32.7766642,-96.7969879,1
2881,"گجرات, پاکستان",32.5730725,74.1005044,0
2882,The Mississippi Delta,29.166891,-89.2503288,1
2883,USAhttps://twitter.c,,,
2884,"1909 Woodland Dr., Macon, GA. ",32.874978,-83.629123,1
2885,"NY,NY",40.7127753,-74.0059728,1
2886,القدس عاصمة فلسطين,31.7949874,35.241733,0
2887,"Upper Left Coast, USA",62.4113634,-149.0729714,1
2888,"Olongapo City, Philippines",14.8386303,120.2842023,0
2889,"Sudbury, Ontario",46.4917317,-80.993029,0
2890,"الظاهرة, سلطنة عمان",23.2161674,56.4907444,0
2891,The Wild Blue Yonder,39.3751761,-104.8601926,1
2892,﮼سلطنة ﮼عمان ﮼,21.4735329,55.975413,0
2893,Swift Current,50.285069,-107.7971722,0
2894,"Fort Eustis, VA",37.1525136,-76.5775744,1
2895,Britain,55.378051,-3.435973,0
2896,Universe,36.1568902,-95.9915346,1
2897,தனுஷ் அண்ணா மனதில்❤,,,
2898,"CT, USA",41.6032207,-73.087749,1
2899,"Alibagh, India",18.6583989,72.8773346,0
2900,California ,36.778261,-119.4179324,1
2901,سلطنة عُمان,21.4735329,55.975413,0
2902,Barcelona,36.0881056,-95.9241306,1
2903,www.fernandocotta.es,,,
2904,Anywhere Anyway,,,
2905,"San Francisco, Bay Area",37.8271784,-122.2913078,1
2906,عمان,21.4735329,55.975413,0
2907,"Ogijares, Granada, Spain",37.1200095,-3.6079451,0
2908,Argentina 🇦🇷,,,
2909,"بركاء, سلطنة عمان",23.6837432,57.9048938,0
2910,Johto,,,
2911,"Glenside, PA",40.0999077,-75.1527928,1
2912,"Malaga, Spain",36.7211784,-4.4217199,0
2913,"Riverside, CA",33.9806005,-117.3754942,1
2914,Ancapistan,,,
2915,"North Vancouver, BC",49.3199816,-123.0724139,0
2916,"Aydın,Türkiye",37.8117033,28.4863963,0
2917,DonaldUnicornLand,,,
2918,Electric Avenue,47.3074656,-122.2236449,1
2919,"Waterloo, Iowa",42.492786,-92.3425775,1
2920,CA ↔ ME ↔ TX,36.778261,-119.4179324,1
2921,Mainly PNC Park and Five Below,40.5251237,-80.0073206,1
2922,"Trenggalek, Indonesia",-8.1824112,111.6183755,0
2923,photomode,34.030032,-118.497418,1
2924,"Menlo Park, CA",37.4529598,-122.1817252,1
2925,"Jerusalem, Israel",31.768319,35.21371,0
2926,"Bucks County, PA",40.4107964,-75.2479061,1
2927,WNY,42.9054622,-78.8680759,1
2928,"Portola Valley, CA",37.3841066,-122.2352443,1
2929,"ÜT: 45.511818,-73.557169",30.2849185,-97.7340567,1
2930,Valencia,28.5217922,-81.4635767,1
2931,Montréal,45.5016889,-73.567256,0
2932,"Los Angeles, California ",34.0522342,-118.2436849,1
2933,"Whitehorse, Unorganized, Yukon",60.5519839,-134.4459323,0
2934,"Jackson, MI",42.245869,-84.4013462,1
2935,ATX ,30.2649158,-97.7493159,1
2936,Look better,30.0459396,-95.2416977,1
2937,weilburg,50.4859255,8.2722569,0
2938,"Kigali,Rwanda",-1.9440727,30.0618851,0
2939,"Manchester-by-the-Sea, MA",42.577834,-70.7675967,1
2940,Kigali - Rwanda,-1.9440727,30.0618851,0
2941,🇷🇼🇬🇧,,,
2942,"Falkirk, Scotland",56.0018775,-3.7839131,0
2943,Buenos Aires - Argentina,-34.6036844,-58.3815591,0
2944,Austin,30.267153,-97.7430608,1
2945,"Lombardia, Italia",45.4790671,9.8452433,0
2946,The reverse land,,,
2947,"Hamilton, ON, Canada",43.2557206,-79.8711024,0
2948,Sur La Terre ,45.5274315,-73.6027461,0
2949,"Geneseo, IL",41.4480902,-90.1542848,1
2950,"Screwston, Texas",29.6427711,-95.5300325,1
2951,rwanda,-1.940278,29.873888,0
2952,DC/MD/VA,38.9071923,-77.0368707,1
2953,Cats Are Autistic As Fcuk,,,
2954,"Port Elizabeth, South Africa",-33.9608369,25.6022423,0
2955,Madrid / Toledo/ Guadamur,,,
2956,"Rutland, MA",42.3695086,-71.9481211,1
2957,Kigali,-1.9440727,30.0618851,0
2958,Hollywood,34.0928092,-118.3286614,1
2959,"Mebane, NC",36.0959715,-79.2669619,1
2960,"Denver, CO 80221",39.8042947,-105.0206757,1
2961,"Louisville, KY, USA",38.2526647,-85.7584557,1
2962,Kigali~Rwanda,-1.9440727,30.0618851,0
2963,WNC,39.1854572,-119.7901185,1
2964,"825 L St, Anchorage, AK 99501",61.2142526,-149.9031133,1
2965,In the palm of your hand.,,,
2966,"Geneva, Switzerland",46.2043907,6.1431577,0
2967,Batuu East,,,
2968,"ÜT: 33.539145,-117.667535",30.2849185,-97.7340567,1
2969,New York | LA,40.7127753,-74.0059728,1
2970,"Highlands Ranch, CO",39.5480789,-104.9739333,1
2971,georgia,32.1656221,-82.9000751,1
2972,Avila y Las Rozas ( Madrid ),40.4885665,-3.8734581,0
2973,WORLD EARTH PEACE,,,
2974,"Zitacuaro, Michoacan",19.4376056,-100.3558695,0
2975,"A galaxy far, far away...",28.385233,-81.563874,1
2976,Geneva ,46.2043907,6.1431577,0
2977,México,23.634501,-102.552784,0
2978,Between the land and the sea,,,
2979,"Caldwell, Idaho",43.6629384,-116.6873596,1
2980,"Tupelo, MS",34.2576066,-88.7033859,1
2981,Woodinville WA (near Seattle),47.7542651,-122.1634581,1
2982,"İzmir, Türkiye [Man]",38.423734,27.142826,0
2983,"Riyadh, Saudi Arabia",24.7135517,46.6752957,0
2984,"Oman, Saham",24.1539162,56.8648473,0
2985,"South West, England",50.7772135,-3.999461,0
2986,"Guadalajara, Jalisco",20.6596988,-103.3496092,0
2987,Lahore. Dubai. Shigar,31.5203696,74.3587473,0
2988,Webster NY,43.2122851,-77.4299939,1
2989,"Wicklow, Ireland",52.9808207,-6.044589,0
2990,"Nuevo México, USA",34.5199402,-105.8700901,1
2991,"Notre Dame, IN",41.7001908,-86.2379328,1
2992,West Sussex,50.9280143,-0.4617075,0
2993,"Tuxtla Gutiérrez, Chiapas",16.7516009,-93.1029939,0
2994,In the Vale of Soul-Making,,,
2995,Hawaii,19.8967662,-155.5827818,1
2996,"98-1079 Moanalua Road, Aiea",21.3835987,-157.9382973,1
2997,"Twin Cities, MN",44.9374831,-93.2009998,1
2998,San Francisco LA Seattle HNL,37.7749295,-122.4194155,1
2999,"Principado de Asturias, España",43.3613953,-5.8593267,0
3000,"En Toledo, pero de Puertollano",39.8628316,-4.0273231,0
3001,Ballymena,54.8652935,-6.2802213,0
3002,Coulee Dam,47.9654304,-118.9761322,1
3003,"Zaragoza, España",41.6488226,-0.8890853,0
3004,"صحار,البديعة ",24.3500672,56.7133258,0
3005,"Haut-Rhin, Alsace",47.9315041,7.2441099,0
3006,"Toronto, ON, Canada",43.653226,-79.3831843,0
3007,Philadelphia/Montana ,39.9526707,-75.1682133,1
3008,Azania,,,
3009,"Victoria, British Columbia",48.4284207,-123.3656444,0
3010,sapnu puas🔃,,,
3011,Missouri,37.9642529,-91.8318334,1
3012,Lawrence KS,38.9716689,-95.2352501,1
3013,سلطنة عمان - محافظة ظفار ,17.0322121,54.1425214,0
3014,"Vancouver, BC",49.2827291,-123.1207375,0
3015,Martorell,41.4795041,1.923048,0
3016,"Llay, Wales",53.092664,-3.003691,0
3017,"Memphis, Tenn.",35.1495343,-90.0489801,1
3018,OMAN,21.4735329,55.975413,0
3019,سلطنة عمان / مسقط,23.5880307,58.3828717,0
3020,England // CHROMATICA,52.3555177,-1.1743197,0
3021,Copenhagen,55.6760968,12.5683372,0
3022,GIJON,43.5322015,-5.6611195,0
3023,Suburbs by way of Cambridge,42.3736158,-71.1097335,1
3024,Kobe,37.7236958,-97.4440675,1
3025,"San Diego, California",32.715738,-117.1610838,1
3026,"CDMX, México",19.4326077,-99.133208,0
3027,Everyone welcome here,,,
3028,"Bellingham, WA",48.7519112,-122.4786854,1
3029,"Penticton, British Columbia",49.4991381,-119.5937077,0
3030,"Hammersmith, London",51.491187,-0.223731,0
3031, 📌All over Mumbai,19.0759837,72.8776559,0
3032,"Pont-de-l'Arche, France",49.303449,1.158169,0
3033,Pune,18.5204303,73.8567437,0
3034,"Washington, DC adjacent ",38.9071923,-77.0368707,1
3035,"Four Corners, FL",28.3297393,-81.6318783,1
3036,"Cambridge, MN",45.5656755,-93.2258999,1
3037,North of you,,,
3038,"Glasgow, UK",55.864237,-4.251806,0
3039,"Swansea,  South Wales UK",51.62144,-3.943646,0
3040,"Sherman Oaks, Los Angeles",34.1489719,-118.451357,1
3041,California High Desert,34.4720781,-117.284282,1
3042,Pennsylvania ,41.2033216,-77.1945247,1
3043,"New Orleans, La",29.9510658,-90.0715323,1
3044,Wiltshire ENGLAND,51.3491996,-1.9927105,0
3045,"Gladwin, MI",43.9808549,-84.4864007,1
3046,"Greeneville, Tennessee",36.1631574,-82.8309861,1
3047,"Santa Fe, New Mexico, USA",35.6869752,-105.937799,1
3048," ""Mi  Patria en mis Zapatos"" ",,,
3049,U.S. and Worldwide,34.2504796,-88.9759383,1
3050,"Unceded, BC ",53.7266683,-127.6476205,0
3051,seleção 🇧🇷,,,
3052,Athens........................,37.9838096,23.7275388,0
3053,The Lone Star State,31.9685988,-99.9018131,1
3054,We're just over here.,,,
3055,"Quebec, Canada",46.8138783,-71.2079809,0
3056,"Riverdale, NY",40.8996183,-73.9088276,1
3057,onederer💚,,,
3058,UNITED STATES OF AMERICA,37.09024,-95.712891,1
3059,"Texas, in a pirate ship",27.8382223,-97.0676314,1
3060,"Lake Worth, FL",26.6167555,-80.0684479,1
3061,Pale Blue Dot,43.2626969,-79.866193,0
3062,pisces♓️,,,
3063,Neverland,34.7416081,-120.0929636,1
3064,"Henderson, NV",36.0395247,-114.9817213,1
3065,"Kelowna, British Columbia",49.8879519,-119.4960106,0
3066,SD,43.9695148,-99.9018131,1
3067,"Atlantic City, NJ",39.3642834,-74.4229266,1
3068,"Lalor, Melbourne",-37.6655588,145.0165638,0
3069,Southern Ontario,43.2579377,-79.8673433,0
3070,El Salvador,13.794185,-88.89653,0
3071,West of Nowhere,,,
3072,Theresa NY,44.2153329,-75.797165,1
3073,"Hollywood, CA",34.0928092,-118.3286614,1
3074,Got da whole world in my hands,,,
3075,"Dance Studio, I have practice",,,
3076,Lisi’s heart 🇺🇸🇧🇷,,,
3077,Fort Lauderdale,26.1224386,-80.1373174,1
3078,"Richardson, Texas",32.9483335,-96.7298519,1
3079,The Upside Down  ,34.0634223,-118.4475013,1
3080,"Lenexa, KS",38.9536174,-94.7335709,1
3081,Rochdale,53.6097136,-2.1561,0
3082,"Sun City West, AZ",33.6619819,-112.3412726,1
3083,None,42.2305516,-83.7353963,1
3084,1313 Mockingbird Lane! ,38.9645549,-95.236251,1
3085,"Diamond Bar, CA",34.0286226,-117.8103367,1
3086,"Lakewood, CO",39.7047095,-105.0813734,1
3087,ca usa,36.778261,-119.4179324,1
3088,Éireann,53.1423672,-7.6920536,0
3089,"Here, there, and everywhere",40.7562081,-74.6719486,1
3090," St Paul, MN",44.9537029,-93.0899578,1
3091,"Mons, Belgique",50.4542408,3.956659,0
3092,"Emporia, KS",38.403903,-96.1816626,1
3093,"Dallas, Texas, USA",32.7766642,-96.7969879,1
3094,"dublin, ireland",53.3498053,-6.2603097,0
3095,"Ranikhet, India",29.6433615,79.4321825,0
3096,Somewhere USA,,,
3097,Bli Bli Qld Australia,-26.618,153.037,0
3098,"Plymouth Township, MI",42.3735328,-83.5090381,1
3099,@solemnshapes,,,
3100,"Antipolo City, Calabarzon",14.6254827,121.1244847,0
3101,My Happy Place,35.9363557,-94.8308459,1
3102,We ship worldwide,,,
3103,"Redwood City, CA",37.4847955,-122.228141,1
3104,The Better Washington,47.154563,-122.402807,1
3105,"Pembroke Pines, Florida, USA",26.007765,-80.2962555,1
3106,Auckland NZ,-36.8483048,174.7624886,0
3107,West Egg,33.7845189,-84.4121053,1
3108,Milwaukee,43.0389025,-87.9064736,1
3109,"Left corner,underneath the bed",,,
3110,opposite Muynonyo Resort,0.2384953,32.6241562,0
3111,Near my luggage,,,
3112,"Teaneck, NJ",40.8932469,-74.0116536,1
3113,Victoria Australia ,-37.4713077,144.7851531,0
3114,"Tuscany, Italy",43.7710513,11.2486208,0
3115,"Granite City, IL",38.7014389,-90.1487199,1
3116,Up state NY ,43.0481962,-76.0488458,1
3117,GoldenBeach Fl,25.9650919,-80.1222671,1
3118,Lakeland FL - Crested Butte CO,38.870245,-106.985614,1
3119,Undisclosed! Nice Try Libs!,,,
3120,"GA, USA 🇺🇸",32.1656221,-82.9000751,1
3121,New Delhi-110029,28.5647191,77.2003236,0
3122,"South Florida and California, USA",27.6648274,-81.5157535,1
3123,Dehradun,30.3164945,78.0321918,0
3124,"Brighton, MI",42.5294773,-83.7802214,1
3125,Covid Land,,,
3126,Japan　日本,36.204824,138.252924,0
3127,"Barranquilla, Colombia",11.0041072,-74.8069813,0
3128,CA-FL-HI-OR-LV,36.778261,-119.4179324,1
3129,"Guadalajara, Jalisco Mexico",20.6596988,-103.3496092,0
3130,Ohio/Ontario Area,40.7595012,-82.5901725,1
3131,Bricks Town,40.0578384,-74.1371832,1
3132,Washington Oasis in the Desert,47.104425,-119.307757,1
3133,"Disneyland, CA",33.8120918,-117.9189742,1
3134,Dystopia,,,
3135,"Stockton, CA",37.9577016,-121.2907796,1
3136,"Freeport, Il",42.2966861,-89.6212271,1
3137,"durham, NC",35.9940329,-78.898619,1
3138,"Palm Valley, FL",30.1774649,-81.3875817,1
3139,Duke City,35.1096456,-106.532704,1
3140,"Gold Beach, OR",42.4073334,-124.4217741,1
3141,"Florida, USA ",27.6648274,-81.5157535,1
3142,In the EndZone,32.5411705,-93.7216451,1
3143,member of this planet.🙏,,,
3144,"Sevilla, Andalucía, España",37.3890924,-5.9844589,0
3145,on screen ,49.2829181,-123.1097251,0
3146,North Finchley,51.6135087,-0.1754198,0
3147,الدمام,26.4206828,50.0887943,0
3148,San Diego CA,32.715738,-117.1610838,1
3149,Puente Genil,37.3909975,-4.7665698,0
3150,"Peebles, Scotland",55.653071,-3.193642,0
3151,I get around,41.8979071,-87.6783963,1
3152,super smashing my gf,,,
3153,"East Midlands, England",,,
3154,"Murcia, España",37.9922399,-1.1306544,0
3155,always supporting Henry,,,
3156,日本 東京,35.6803997,139.7690174,0
3157,Dublin Rathdown,53.2602149,-6.2047205,0
3158,"leeds, uk 🇪🇺",53.8007554,-1.5490774,0
3159,Małopolska,49.7225306,20.2503358,0
3160,"Entebbe , Uganda",0.0511839,32.463708,0
3161,Tunisia,33.886917,9.537499,0
3162,Birmingham. U.K.,52.486243,-1.890401,0
3163,"#Chicagoland, MotherEarth",41.608184,-88.204759,1
3164,Midwest Mud,,,
3165,"Penarth and Cardiff, Wales",51.438798,-3.173507,0
3166,Petaling Jaya,3.1278871,101.5944885,0
3167,Namayiba Bus Park.,0.3194759,32.5708506,0
3168,"Cambridge, Massachusetts ",42.3736158,-71.1097335,1
3169,South Central Pennsylvania,41.2033216,-77.1945247,1
3170,"Liverpool, England",53.4083714,-2.9915726,0
3171,"Torquay, UK",50.4619209,-3.525315,0
3172,DG PL,41.7943308,-88.0113412,1
3173,المملكه العربيه السعوديه KAS ,23.885942,45.079162,0
3174,"Nottingham, EU 🇪🇺",52.9547832,-1.1581086,0
3175,Southeastern CT,41.3374157,-72.0717215,1
3176,ここ　どこだろう,,,
3177,🅘🅝 🅛🅞🅒🅚🅓🅞🅦🅝,,,
3178,Switzerland,46.818188,8.227512,0
3179,Searching..,,,
3180,Maui - Los Angeles - Chicago,20.7983626,-156.3319253,1
3181,"Branford, CT.",41.2799027,-72.8141185,1
3182,"Raipur, India",21.2513844,81.6296413,0
3183,"Akropong, Ghana",5.9779631,-0.0886948,0
3184,"bangor, me. usa",44.8016128,-68.7712257,1
3185,"Madrid, Comunidad de Madrid",40.4167754,-3.7037902,0
3186,At the Gym,40.8819491,-73.9852986,1
3187,"niagara vortex, canada",43.0828162,-79.0741629,0
3188,"Melbourne, Victoria",-37.8136276,144.9630576,0
3189,"Rheingau-Taunus-Kreis, Hessen",50.1891679,8.1104164,0
3190,"Liberty, Missouri",39.2461138,-94.4191177,1
3191,"Oak Park, MI",42.4594803,-83.1827051,1
3192,"La Plata, Bs. As. , Ar.",-34.9204948,-57.9535657,0
3193,FloridaSomewhere : StAug/Jax,30.1779124,-81.6008623,1
3194,planet earth,38.253749,-78.458708,1
3195,Sick bay #GeeksResist🧡🧡🧡,,,
3196,"Jharkhand, India",23.6101808,85.2799354,0
3197,"Des Plaines, IL",42.0333623,-87.8833991,1
3198,"Norristown, PA",40.121497,-75.3399048,1
3199,Vivo en Argentina,,,
3200,"East Hartford, CT",41.7634219,-72.6128339,1
3201,"Manchester, Northwest, UK",53.4807593,-2.2426305,0
3202,"ÜT: 42.966334,-85.074072",30.2849185,-97.7340567,1
3203,City of Toronto,43.653226,-79.3831843,0
3204,"West Yorkshire, England",53.8108176,-1.76261,0
3205,NYC/ Philadelphia,,,
3206,Netherlands,52.132633,5.291266,0
3207,"Guntur, India",16.3066525,80.4365402,0
3208,USA & Italy,38.9178736,-77.0604395,1
3209,Minnesota ,46.729553,-94.6858998,1
3210,Peterborough ON,44.309058,-78.319747,0
3211,"Santo Domingo, Dominican Repub",18.4860575,-69.9312117,0
3212,Malawi,-13.254308,34.301525,0
3213,St. Louis Missouri,38.6270025,-90.1994042,1
3214,🇯🇵Japan: Kagoshima city 鹿児島市,31.5960565,130.5647207,0
3215,"Galway, NY",43.0186858,-74.0315162,1
3216,"Peterborough, Ontario",44.309058,-78.319747,0
3217,"Puerto Vallarta, Jalisco",20.653407,-105.2253316,0
3218,Atlanta/LA,31.805166,-92.7382068,1
3219,"Σπάρτη, Ελλάς",37.074461,22.430264,0
3220,Los Angeles Universe Omniverse,34.0522342,-118.2436849,1
3221,"Αθήνα, Ελλάς",37.9838096,23.7275388,0
3222,Θεσσαλονίκη,40.6400629,22.9444191,0
3223,"Holmesburg, Philadelphia",40.0403401,-75.0154253,1
3224,Gonzo land ® ,,,
3225,Cornwall,50.502332,-4.315735,0
3226,"Somerset, NJ",40.497604,-74.4884868,1
3227,"Αχαΐα, Ελλάς ",38.1158729,21.9522491,0
3228,Sheffield/England,53.381129,-1.470085,0
3229,The honey badger ha ha hole,,,
3230,Orlando - Miami,28.4600514,-81.459406,1
3231,"Hershey, PA",40.2859239,-76.6502468,1
3232,"San Salvador, El Salvador",13.6929403,-89.2181911,0
3233,North East,43.2994285,-74.2179326,1
3234,surfing #BlueWave2020,,,
3235,"St. Catharines, Ontario",43.1593745,-79.2468626,0
3236,heaven,37.0326709,-95.6235557,1
3237,cdc.gov/nceh & atsdr.cdc.gov,,,
3238,"Lansing, Michigan",42.732535,-84.5555347,1
3239,"Kano, Nigeria",12.0021794,8.5919561,0
3240,Nepal,28.394857,84.124008,0
3241,Reno; Parler @WonderWoman4USA,39.5296329,-119.8138027,1
3242,Sol III,32.4986609,-116.8531435,0
3243,"Haverhill, Suffolk",52.082766,0.440945,0
3244,America the Beautiful,38.8309339,-104.8317651,1
3245,NEW YORK CITY,40.7127753,-74.0059728,1
3246,"Statesboro, GA",32.4487876,-81.7831674,1
3247,Wien,48.2081743,16.3738189,0
3248,Florida-USA,27.6648274,-81.5157535,1
3249,"Toronto, ON Canada",43.653226,-79.3831843,0
3250,"Cumbria, England.",54.5772323,-2.7974835,0
3251,"ÜT: 43.724882,-79.471653",30.2849185,-97.7340567,1
3252,"Tokyo, Japan",35.6761919,139.6503106,0
3253,"Echsenbach, Österreich",48.717465,15.217745,0
3254,Headmaster Suite at Hogwartsu,,,
3255,Theoretical papers,,,
3256,Houston Texas,29.7604267,-95.3698028,1
3257,NW of LA,34.0522342,-118.2436849,1
3258,⚢,,,
3259,Lorca,41.0561111,-73.5383333,1
3260,"Αττική, Ελλάς",38.0457568,23.8584737,0
3261,भानुप्रतापपुर 🇮🇳,20.3035983,81.0735736,0
3262,"New York, New York, USA,",40.7127753,-74.0059728,1
3263,"1059 Baxter St. Athens, Ga",33.9470788,-83.3970911,1
3264,"Mérida, España",38.9394272,-6.365157,0
3265,"Brent, AL",32.9373463,-87.1647184,1
3266,"Hessen, Deutschland",50.6520515,9.1624376,0
3267,"Duncan, SC",34.9378962,-82.1451096,1
3268,The Golden West.,37.7902012,-122.4025449,1
3269,"Sioux Falls, SD",43.5460223,-96.731265,1
3270,Cusco - Perú - South America,-13.53195,-71.9674626,0
3271,"Sauk Rapids,MN ",45.5919097,-94.1661011,1
3272,Γλυφάδα,37.879787,23.7692328,0
3273,"Ibadan, Nigeria",7.3775355,3.9470396,0
3274,Metro NYC,40.760257,-73.9754704,1
3275,"Baltimore, Maryland ",39.2903848,-76.6121893,1
3276,"Pietermaritzburg, South Africa",-29.6006068,30.3794118,0
3277,nova scotia,44.6819866,-63.744311,0
3278,"Blue State, USA",41.3017902,-72.9332062,1
3279,"North Bergen, NJ, USA",40.8042674,-74.012084,1
3280,Just floating around......,34.1473636,-118.1337557,1
3281,blue girl in a red state,,,
3282,I’m Right Here - Where Are You,,,
3283,"Winnipeg, Manitoba",49.895136,-97.1383744,0
3284,Jaipur,36.248194,-94.130313,1
3285,Ethiopia,9.145,40.489673,0
3286,"West Orange, NJ",40.7985699,-74.2390828,1
3287,Kaer Morhen ,39.9645092,-83.0709104,1
3288,"Cuttack,odisha,india",20.462521,85.8829895,0
3289,"Brandon, MB",49.848471,-99.9500904,0
3290,The Universe,36.1568902,-95.9915346,1
3291,The Universe ,36.1568902,-95.9915346,1
3292,"LOS ANGELES, CA.",34.0522342,-118.2436849,1
3293,Badbillys birdhouse ,,,
3294,"Jamaica,C'bean, C-N Amer, UK",,,
3295,Matritenseasturextremeño,,,
3296,"Málaga, España",36.7211784,-4.4217199,0
3297,"Bakersfield, CA",35.3732921,-119.0187125,1
3298,East Grinstead,51.128742,-0.014468,0
3299,"San Luis Obispo, California",35.2827524,-120.6596156,1
3300,"Strawberry Plains, TN",36.0631414,-83.6860109,1
3301,"Grandview, MO",38.8858407,-94.5330096,1
3302,Mother Earth,36.0614716,-95.9767848,1
3303,Somewhere outside of Calgary.,51.0447331,-114.0718831,0
3304,• 𝘧𝘢𝘯 𝘢𝘤𝘤𝘰𝘶𝘯𝘵  💌,,,
3305,USA & International,47.7743722,-122.2118104,1
3306,꾹's 하트,,,
3307,"London, Ontario Canada",42.9849233,-81.2452768,0
3308,"North Logan, UT",41.7693747,-111.8046654,1
3309,The Forest Cities,35.3340108,-81.8651028,1
3310,ᶠᵒᵘʳᵗʰ ʳᵒᶜᵏ ᶠʳᵒᵐ ᵗʰᵉ ˢᵘⁿ,,,
3311,definitely somewhere,,,
3312,The Jerze,41.1388941,-96.0382865,1
3313,Dominican Republic,18.735693,-70.162651,0
3314,608,43.8258353,-91.2498898,1
3315,Vancouver ✈ abroad,49.2827291,-123.1207375,0
3316,Middle of Canada,49.7713134,-96.8165356,0
3317,Welcome to the Kingdom,,,
3318,"Greenville, SC",34.8526176,-82.3940104,1
3319,Scottsdale,33.4941704,-111.9260519,1
3320,"Yorkshire, UK",53.9915028,-1.5412015,0
3321,Denver CO US,39.7392358,-104.990251,1
3322,"NYC, NY",40.7127753,-74.0059728,1
3323,"DKI Jakarta, Indonesia",-6.2087634,106.845599,0
3324,"Pawtucket, Rhode Island",41.878711,-71.3825558,1
3325,"Glassboro, NJ",39.7028923,-75.1118422,1
3326,Japan ,36.204824,138.252924,0
3327,"Macon, GA",32.8406946,-83.6324022,1
3328,"Valley Cottage, NY",41.1181514,-73.9554159,1
3329,"5 Cranbourne Place,Cranbourne",-38.096571,145.281898,0
3330,M É X I C O,19.4326077,-99.133208,0
3331,NY-NJ  USA,40.7127753,-74.0059728,1
3332,"Hamilton, ON",43.2557206,-79.8711024,0
3333,Cincinnati,39.1031182,-84.5120196,1
3334,TEXAS,31.9685988,-99.9018131,1
3335,Россия,61.52401,105.318756,0
3336,Manhattan,40.7830603,-73.9712488,1
3337,"Toronto, Ontario Canada",43.653226,-79.3831843,0
3338,Philippines,12.879721,121.774017,0
3339,Mexico city,19.4326077,-99.133208,0
3340,"Hell, MI",42.43472,-83.985,1
3341,#shastacascade,40.4362128,-122.2886893,1
3342,SW Florida - I FB when allowed,26.5479583,-81.8058254,1
3343,96 Field st West Babylon NY ,40.7335698,-73.3885066,1
3344,"Parkland, WA",47.1553769,-122.4340114,1
3345,"Kenya, Global Headquarters",,,
3346,"Tulsa, OK, USA",36.1539816,-95.992775,1
3347,"Encinitas, CA",33.0369867,-117.2919818,0
3348,Singapore,1.352083,103.819836,0
3349,"Alwar, India",27.5529907,76.6345735,0
3350,Konohagakure - Land of Fire,,,
3351,"Windsor, Ontario",42.3149367,-83.0363633,1
3352,"Dun Laoghaire-Rathdown, Ireland",53.2602149,-6.2047205,0
3353,"Binghamton, NY",42.0986867,-75.9179738,1
3354,"Deanshanger, England",52.052738,-0.891088,0
3355,"Wanstead, E11 ",51.5767971,0.0249881,0
3356,BTS world,,,
3357,"Leicester, England",52.6368778,-1.1397592,0
3358,"South Dublin, Ireland",53.2810955,-6.4345836,0
3359,Fermoy,52.1372719,-8.2812256,0
3360,thailand,15.870032,100.992541,0
3361,JJK1 💅,,,
3362,Dublin via An Riocht,53.3498053,-6.2603097,0
3363,"Norfolk, UK",52.6139686,0.8864021,0
3364,Blue State,37.09024,-95.712891,1
3365,"Rhondda Valleys, South Wales",51.6160411,-3.4250598,0
3366,Indonesia ,-0.789275,113.921327,0
3367,"Rome, Italy",41.9027835,12.4963655,0
3368,Sydney,-33.8688197,151.2092955,0
3369,london,51.5073509,-0.1277583,0
3370,"Bandung, ID",-6.9174639,107.6191228,0
3371,"Amherstburg, Ontario, Canada",42.1013779,-83.1086977,0
3372,"Dublin,Ireland",53.3498053,-6.2603097,0
3373,"Newport, Shropshire",52.7685559,-2.375587,0
3374,NCR,36.3017573,-94.1885278,1
3375,Repubblica Del Galles,52.1306607,-3.7837117,0
3376,"Doddington, England",52.497714,0.0644229,0
3377,A very dark room,,,
3378,Middle Eire,-37.849103,176.393566,0
3379,Kerala,10.8505159,76.2710833,0
3380,Cymru,52.1306607,-3.7837117,0
3381,Erehwon,42.1992549,-87.8587822,1
3382,"Emirdağ, Türkiye",39.0802496,31.3541631,0
3383,"Cape Coral, FL",26.5628537,-81.9495331,1
3384,"Furriesville,UwUSA",,,
3385,bookings@iamapass.com,,,
3386,BLUE Virginia!,36.7579462,-76.007753,1
3387,Islamabad,33.6844202,73.0478848,0
3388,"Cardiff, Wales, UK",51.481581,-3.17909,0
3389,"Pocasset, MA",41.6862173,-70.616142,1
3390,"Manila, Philippines",14.5995124,120.9842195,0
3391,Buckingham Palace,51.501364,-0.14189,0
3392,Pune. Kolkata ❤,18.5204303,73.8567437,0
3393,Global PI Village,,,
3394,"ÜT: 19.053002,72.830552",30.2849185,-97.7340567,1
3395,St Louis ,38.6270025,-90.1994042,1
3396,You are entitled to my opinion,,,
3397,New Delhi /Luxembourg ,49.591351,6.126058,0
3398,Somewhere between Zen and Tao,,,
3399,North Carolina California  New York  Las Vegas .Washington DC Texas .Florida United States ,35.7595731,-79.0192997,1
3400,hanging out with fungie,,,
3401,Al Madinah Al Munawwarah,24.5246542,39.5691841,0
